Application: Tecan i-control;;;;Tecan i-control , 1.10.4.0;;;;;;;
Device: infinite 200Pro;;;;Serial number: 1308001874;;;;Serial number of connected stacker:;;;
Firmware: V_3.37_07/12_Infinite (Jul 20 2012/13.56.47);;;;MAI, V_3.37_07/12_Infinite (Jul 20 2012/13.56.47);;;;;;;
;;;;;;;;;;;
Date:;23/10/2013;;;;;;;;;;
Time:;09:58:26;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
System;;;;TECAN-PC;;;;;;;
User;;;;tecan-PC\tecan;;;;;;;
Plate;;;;Greiner 96 Flat Bottom Transparent Polystyrol  [GRE96ft.pdfx];;;;;;;
Plate-ID (Stacker);;;;;;;;;;;
;;;;;;;;;;;
List of actions in this measurement script:;;;;;;;;;;;
Kinetic;;;;;;;;;;;
Absorbance;;;;;;;;;;;
Fluorescence;;;;;;;;;;;
;;;;;;;;;;;
2 Labels;;;;;;;;;;;
Kinetic Measurement;;;;;;;;;;;
Kinetic Cycles;;;;5;;;;;;;
Interval Time;;;;Minimal;;;;;;;
Mode;;;;Absorbance;;;;;;;
Time [ms];20310;126745;231419;336348;441146;;;;;;
C11;0,048099998;0,048500001;0,048500001;0,0482;0,048799999;;;;;;
Time [ms];20919;127354;232028;336957;441755;;;;;;
C12;0,046100002;0,046;0,0462;0,046300001;0,046500001;;;;;;
Time [ms];21528;127963;232637;337566;442364;;;;;;
D1;0,0462;0,046500001;0,046700001;0,046799999;0,046700001;;;;;;
Time [ms];28942;135377;240050;344980;449778;;;;;;
D2;0,046999998;0,046999998;0,047200002;0,0473;0,0471;;;;;;
Time [ms];28333;134768;239441;344371;449169;;;;;;
D3;0,045200001;0,045600001;0,045899998;0,045699999;0,0458;;;;;;
Time [ms];27724;134159;238832;343762;448560;;;;;;
D4;0,0458;0,045899998;0,046399999;0,0462;0,046100002;;;;;;
Time [ms];27115;133550;238223;343153;447951;;;;;;
D5;0,0517;0,052000001;0,052099999;0,052299999;0,0524;;;;;;
Time [ms];26506;132941;237614;342544;447342;;;;;;
D6;0,045000002;0,0449;0,045200001;0,0451;0,045299999;;;;;;
Time [ms];25897;132332;237005;341935;446733;;;;;;
D7;0,0447;0,045000002;0,0451;0,045000002;0,045200001;;;;;;
Time [ms];25288;131723;236396;341326;446124;;;;;;
D8;0,045299999;0,045600001;0,045699999;0,045899998;0,045699999;;;;;;
Time [ms];24679;131114;235787;340717;445515;;;;;;
D9;0,0458;0,046399999;0,046300001;0,046399999;0,046399999;;;;;;
Time [ms];24070;130505;235178;340108;444906;;;;;;
D10;0,045000002;0,045299999;0,045400001;0,045600001;0,045400001;;;;;;
Time [ms];23461;129896;234569;339499;444297;;;;;;
D11;0,046300001;0,046399999;0,046500001;0,046599999;0,046599999;;;;;;
Time [ms];22852;129287;233960;338890;443688;;;;;;
D12;0,046;0,046300001;0,046500001;0,046399999;0,046500001;;;;;;
Time [ms];22243;128678;233351;338281;443079;;;;;;
E1;0,045200001;0,045499999;0,045600001;0,045499999;0,045400001;;;;;;
Time [ms];29657;136092;240765;345695;450494;;;;;;
E2;0,046100002;0,046399999;0,046599999;0,046500001;0,046599999;;;;;;
Time [ms];30266;136701;241374;346304;451103;;;;;;
E3;0,045200001;0,0458;0,0458;0,045899998;0,0458;;;;;;
Time [ms];30875;137310;241983;346913;451712;;;;;;
E4;0,0449;0,045299999;0,045299999;0,045299999;0,045299999;;;;;;
Time [ms];31484;137919;242592;347522;452321;;;;;;
E5;0,045200001;0,045299999;0,045600001;0,045600001;0,045499999;;;;;;
Time [ms];32093;138528;243201;348131;452930;;;;;;
E6;0,045400001;0,045600001;0,045699999;0,045699999;0,045899998;;;;;;
Time [ms];32702;139137;243810;348740;453539;;;;;;
E7;0,045600001;0,0458;0,0462;0,0458;0,046;;;;;;
Time [ms];33311;139746;244419;349349;454148;;;;;;
E8;0,043200001;0,0436;0,0436;0,0436;0,043699998;;;;;;
Time [ms];33920;140355;245028;349958;454757;;;;;;
E9;0,044399999;0,044599999;0,044599999;0,044799998;0,044799998;;;;;;
Time [ms];34529;140964;245637;350567;455366;;;;;;
E10;0,045499999;0,045600001;0,0458;0,0458;0,0458;;;;;;
Time [ms];35138;141573;246246;351176;455975;;;;;;
E11;0,0449;0,045299999;0,045499999;0,045400001;0,045499999;;;;;;
Time [ms];35747;142182;246855;351785;456584;;;;;;
E12;0,0451;0,045499999;0,045699999;0,0458;0,045699999;;;;;;
Time [ms];36356;142791;247464;352394;457193;;;;;;
F1;0,046700001;0,046799999;0,047200002;0,046999998;0,047200002;;;;;;
Time [ms];43769;150205;254878;359808;464608;;;;;;
F2;0,0451;0,045400001;0,0458;0,045600001;0,0458;;;;;;
Time [ms];43160;149596;254269;359199;463999;;;;;;
F3;0,046500001;0,046799999;0,046999998;0,046999998;0,0473;;;;;;
Time [ms];42551;148987;253660;358590;463390;;;;;;
F4;0,044500001;0,0447;0,045000002;0,045000002;0,045400001;;;;;;
Time [ms];41942;148378;253051;357981;462781;;;;;;
F5;0,044799998;0,0451;0,045400001;0,045299999;0,045299999;;;;;;
Time [ms];41333;147769;252442;357372;462172;;;;;;
F6;0,0447;0,0449;0,045200001;0,0451;0,045200001;;;;;;
Time [ms];40724;147160;251833;356763;461563;;;;;;
F7;0,045200001;0,045400001;0,045400001;0,045499999;0,045699999;;;;;;
Time [ms];40115;146551;251224;356154;460954;;;;;;
F8;0,046100002;0,046700001;0,046700001;0,046700001;0,0469;;;;;;
Time [ms];39506;145942;250615;355545;460345;;;;;;
F9;0,045299999;0,045600001;0,045899998;0,045899998;0,046;;;;;;
Time [ms];38897;145333;250006;354936;459736;;;;;;
F10;0,045200001;0,045600001;0,045699999;0,045600001;0,045699999;;;;;;
Time [ms];38288;144724;249397;354327;459127;;;;;;
F11;0,044799998;0,0451;0,045299999;0,045400001;0,045499999;;;;;;
Time [ms];37679;144115;248788;353718;458518;;;;;;
F12;0,045299999;0,045499999;0,0458;0,045699999;0,046;;;;;;
Time [ms];37070;143506;248179;353109;457909;;;;;;
G1;0,045499999;0,045899998;0,046100002;0,046100002;0,046;;;;;;
Time [ms];44483;150919;255594;360522;465322;;;;;;
G2;0,046300001;0,046799999;0,046999998;0,0471;0,0471;;;;;;
Time [ms];45092;151528;256203;361131;465931;;;;;;
G3;0,0449;0,045000002;0,045400001;0,045200001;0,045299999;;;;;;
Time [ms];45701;152137;256812;361740;466540;;;;;;
G4;0,0451;0,0451;0,045499999;0,045499999;0,045600001;;;;;;
Time [ms];46310;152746;257421;362349;467149;;;;;;
G5;0,0462;0,046399999;0,046700001;0,046700001;0,046700001;;;;;;
Time [ms];46919;153355;258030;362958;467759;;;;;;
G6;0,046300001;0,046399999;0,046799999;0,046700001;0,046799999;;;;;;
Time [ms];47528;153964;258639;363567;468368;;;;;;
G7;0,046300001;0,046500001;0,046700001;0,046599999;0,0469;;;;;;
Time [ms];48138;154573;259248;364176;468977;;;;;;
G8;0,045699999;0,046;0,046300001;0,045899998;0,046300001;;;;;;
Time [ms];48746;155182;259857;364785;469586;;;;;;
G9;0,046399999;0,046799999;0,0469;0,0469;0,046799999;;;;;;
Time [ms];49356;155791;260466;365394;470195;;;;;;
G10;0,048099998;0,048300002;0,048700001;0,048599999;0,048500001;;;;;;
Time [ms];49965;156401;261075;366003;470804;;;;;;
G11;0,0458;0,0458;0,0462;0,046100002;0,046300001;;;;;;
Time [ms];50574;157010;261684;366612;471413;;;;;;
G12;0,047899999;0,048099998;0,0482;0,0484;0,048599999;;;;;;
Time [ms];51183;157619;262293;367221;472022;;;;;;
H1;0,048599999;0,048900001;0,048999999;0,048900001;0,0491;;;;;;
Time [ms];58596;165032;269706;374634;479436;;;;;;
H2;0,045899998;0,046300001;0,046599999;0,046399999;0,046500001;;;;;;
Time [ms];57987;164423;269097;374025;478827;;;;;;
H3;0,045600001;0,045200001;0,0458;0,045699999;0,0458;;;;;;
Time [ms];57378;163814;268488;373416;478218;;;;;;
H4;0,046100002;0,046399999;0,046700001;0,046700001;0,046799999;;;;;;
Time [ms];56769;163205;267879;372807;477609;;;;;;
H5;0,048599999;0,048599999;0,0493;0,048999999;0,048999999;;;;;;
Time [ms];56160;162596;267270;372198;477000;;;;;;
H6;0,046399999;0,046599999;0,046700001;0,0469;0,046999998;;;;;;
Time [ms];55551;161987;266661;371589;476390;;;;;;
H7;0,0484;0,048599999;0,048799999;0,048900001;0,048900001;;;;;;
Time [ms];54942;161378;266052;370980;475781;;;;;;
H8;0,050500002;0,050700001;0,051100001;0,050999999;0,051100001;;;;;;
Time [ms];54333;160769;265443;370371;475172;;;;;;
