
Assay:, Absorbance_abso, Description:
Software:, Tecan, Instrument Serial:, 
Plate Seq#1 Comment:, Acquired: Monday, January 01, 2000 00:00 AM Temperature Min/Max: 0.0/0.0°C
Well Number, Time, Absorbance , Sample Type, Flags
30, 00:03:48, 0.0449, UNK30,
30, 00:05:33, 0.0453, UNK30,
30, 00:07:18, 0.0452, UNK30,
31, 00:00:18, 0.0444, UNK31,
31, 00:02:04, 0.0447, UNK31,
31, 00:03:49, 0.0448, UNK31,
31, 00:05:34, 0.0448, UNK31,
31, 00:07:19, 0.0449, UNK31,
32, 00:00:19, 0.0462, UNK32,
32, 00:02:05, 0.0465, UNK32,
32, 00:03:50, 0.0465, UNK32,
32, 00:05:35, 0.0463, UNK32,
32, 00:07:19, 0.0464, UNK32,
33, 00:00:19, 0.0446, UNK33,
33, 00:02:06, 0.0447, UNK33,
33, 00:03:50, 0.045, UNK33,
33, 00:05:35, 0.0448, UNK33,
33, 00:07:20, 0.0451, UNK33,
34, 00:00:20, 0.0447, UNK34,
34, 00:02:06, 0.0451, UNK34,
34, 00:03:51, 0.0454, UNK34,
34, 00:05:36, 0.0452, UNK34,
34, 00:07:21, 0.0452, UNK34,
35, 00:00:20, 0.0481, UNK35,
35, 00:02:07, 0.0485, UNK35,
35, 00:03:52, 0.0485, UNK35,
35, 00:05:36, 0.0482, UNK35,
35, 00:07:21, 0.0488, UNK35,
36, 00:00:21, 0.0461, UNK36,
36, 00:02:07, 0.046, UNK36,
36, 00:03:52, 0.0462, UNK36,
36, 00:05:37, 0.0463, UNK36,
36, 00:07:22, 0.0465, UNK36,
37, 00:00:28, 0.0462, UNK37,
37, 00:02:15, 0.0465, UNK37,
37, 00:04:00, 0.0467, UNK37,
37, 00:05:44, 0.0468, UNK37,
37, 00:07:29, 0.0467, UNK37,
38, 00:00:28, 0.047, UNK38,
38, 00:02:14, 0.047, UNK38,
38, 00:03:59, 0.0472, UNK38,
38, 00:05:44, 0.0473, UNK38,
38, 00:07:29, 0.0471, UNK38,
39, 00:00:27, 0.0452, UNK39,
39, 00:02:14, 0.0456, UNK39,
39, 00:03:58, 0.0459, UNK39,
39, 00:05:43, 0.0457, UNK39,
39, 00:07:28, 0.0458, UNK39,
40, 00:00:27, 0.0458, UNK40,
40, 00:02:13, 0.0459, UNK40,
40, 00:03:58, 0.0464, UNK40,
40, 00:05:43, 0.0462, UNK40,
40, 00:07:27, 0.0461, UNK40,
41, 00:00:26, 0.0517, UNK41,
41, 00:02:12, 0.052, UNK41,
41, 00:03:57, 0.0521, UNK41,
41, 00:05:42, 0.0523, UNK41,
41, 00:07:27, 0.0524, UNK41,
42, 00:00:25, 0.045, UNK42,
42, 00:02:12, 0.0449, UNK42,
42, 00:03:57, 0.0452, UNK42,
42, 00:05:41, 0.0451, UNK42,
42, 00:07:26, 0.0453, UNK42,
43, 00:00:25, 0.0447, UNK43,
43, 00:02:11, 0.045, UNK43,
43, 00:03:56, 0.0451, UNK43,
43, 00:05:41, 0.045, UNK43,
43, 00:07:26, 0.0452, UNK43,
44, 00:00:24, 0.0453, UNK44,
44, 00:02:11, 0.0456, UNK44,
44, 00:03:55, 0.0457, UNK44,
44, 00:05:40, 0.0459, UNK44,
44, 00:07:25, 0.0457, UNK44,
45, 00:00:24, 0.0458, UNK45,
45, 00:02:10, 0.0464, UNK45,
45, 00:03:55, 0.0463, UNK45,
45, 00:05:40, 0.0464, UNK45,
45, 00:07:24, 0.0464, UNK45,
46, 00:00:23, 0.045, UNK46,
46, 00:02:09, 0.0453, UNK46,
46, 00:03:54, 0.0454, UNK46,
46, 00:05:39, 0.0456, UNK46,
46, 00:07:24, 0.0454, UNK46,
47, 00:00:22, 0.0463, UNK47,
47, 00:02:09, 0.0464, UNK47,
47, 00:03:53, 0.0465, UNK47,
47, 00:05:38, 0.0466, UNK47,
47, 00:07:23, 0.0466, UNK47,
48, 00:00:22, 0.046, UNK48,
48, 00:02:08, 0.0463, UNK48,
48, 00:03:53, 0.0465, UNK48,
48, 00:05:38, 0.0464, UNK48,
48, 00:07:23, 0.0465, UNK48,
49, 00:00:29, 0.0452, UNK49,
49, 00:02:16, 0.0455, UNK49,
49, 00:04:00, 0.0456, UNK49,
49, 00:05:45, 0.0455, UNK49,
49, 00:07:30, 0.0454, UNK49,
50, 00:00:30, 0.0461, UNK50,
50, 00:02:16, 0.0464, UNK50,
50, 00:04:01, 0.0466, UNK50,
50, 00:05:46, 0.0465, UNK50,
50, 00:07:31, 0.0466, UNK50,
51, 00:00:30, 0.0452, UNK51,
51, 00:02:17, 0.0458, UNK51,
51, 00:04:01, 0.0458, UNK51,
51, 00:05:46, 0.0459, UNK51,
51, 00:07:31, 0.0458, UNK51,
52, 00:00:31, 0.0449, UNK52,
52, 00:02:17, 0.0453, UNK52,
52, 00:04:02, 0.0453, UNK52,
52, 00:05:47, 0.0453, UNK52,
52, 00:07:32, 0.0453, UNK52,
53, 00:00:32, 0.0452, UNK53,
53, 00:02:18, 0.0453, UNK53,
53, 00:04:03, 0.0456, UNK53,
53, 00:05:48, 0.0456, UNK53,
53, 00:07:32, 0.0455, UNK53,
54, 00:00:32, 0.0454, UNK54,
54, 00:02:19, 0.0456, UNK54,
54, 00:04:03, 0.0457, UNK54,
54, 00:05:48, 0.0457, UNK54,
54, 00:07:33, 0.0459, UNK54,
55, 00:00:33, 0.0456, UNK55,
55, 00:02:19, 0.0458, UNK55,
55, 00:04:04, 0.0462, UNK55,
55, 00:05:49, 0.0458, UNK55,
55, 00:07:34, 0.046, UNK55,
56, 00:00:33, 0.0432, UNK56,
56, 00:02:20, 0.0436, UNK56,
56, 00:04:05, 0.0436, UNK56,
56, 00:05:49, 0.0436, UNK56,
56, 00:07:34, 0.0437, UNK56,
57, 00:00:34, 0.0444, UNK57,
57, 00:02:20, 0.0446, UNK57,
57, 00:04:05, 0.0446, UNK57,
57, 00:05:50, 0.0448, UNK57,
57, 00:07:35, 0.0448, UNK57,
